Movt.,(0),(0 1),(0 2),(0 3),(0 4),(0 5),(0 6),(0 1 2),(0 1 3),(0 1 4),(0 1 5),(0 1 6),(0 2 4),(0 2 5),(0 2 6),(0 2 7),(0 3 6),(0 3 7),(0 4 8),(0 1 2 3),(0 1 2 4),(0 1 2 5),(0 1 2 6),(0 1 2 7),(0 1 3 4),(0 1 3 5),(0 1 3 6),(0 1 3 7),(0 1 4 5),(0 1 4 6),(0 1 4 7),(0 1 4 8),(0 1 5 6),(0 1 5 7),(0 1 5 8),(0 1 6 7),(0 2 3 5),(0 2 3 6),(0 2 3 7),(0 2 4 6),(0 2 4 7),(0 2 4 8),(0 2 5 7),(0 2 5 8),(0 2 6 8),(0 3 4 7),(0 3 5 8),(0 3 6 9),(0 1 2 3 4),(0 1 2 3 5),(0 1 2 3 6),(0 1 2 3 7),(0 1 2 4 5),(0 1 2 4 6),(0 1 2 4 7),(0 1 2 4 8),(0 1 2 5 6),(0 1 2 5 7),(0 1 2 5 8),(0 1 2 6 7),(0 1 2 6 8),(0 1 3 4 6),(0 1 3 4 7),(0 1 3 4 8),(0 1 3 5 6),(0 1 3 5 7),(0 1 3 5 8),(0 1 3 6 7),(0 1 3 6 8),(0 1 3 6 9),(0 1 3 7 8),(0 1 4 5 7),(0 1 4 5 8),(0 1 4 6 8),(0 1 4 6 9),(0 1 4 7 8),(0 2 3 4 6),(0 2 3 4 7),(0 2 3 5 7),(0 2 3 5 8),(0 2 3 6 8),(0 2 4 5 8),(0 2 4 6 8),(0 2 4 6 9),(0 2 4 7 9),(0 3 4 5 8),(0 1 2 3 4 5),(0 1 2 3 4 6),(0 1 2 3 4 7),(0 1 2 3 4 8),(0 1 2 3 5 6),(0 1 2 3 5 7),(0 1 2 3 5 8),(0 1 2 3 6 7),(0 1 2 3 6 8),(0 1 2 3 6 9),(0 1 2 3 7 8),(0 1 2 4 5 6),(0 1 2 4 5 7),(0 1 2 4 5 8),(0 1 2 4 6 7),(0 1 2 4 6 8),(0 1 2 4 6 9),(0 1 2 4 7 8),(0 1 2 4 7 9),(0 1 2 5 6 7),(0 1 2 5 6 8),(0 1 2 5 6 9),(0 1 2 5 7 8),(0 1 2 5 7 9),(0 1 2 6 7 8),(0 1 3 4 5 7),(0 1 3 4 5 8),(0 1 3 4 6 7),(0 1 3 4 6 8),(0 1 3 4 6 9),(0 1 3 4 7 8),(0 1 3 4 7 9),(0 1 3 5 6 8),(0 1 3 5 6 9),(0 1 3 5 7 8),(0 1 3 5 7 9),(0 1 3 5 8 9),(0 1 3 6 7 9),(0 1 3 6 8 9),(0 1 4 5 6 8),(0 1 4 5 8 9),(0 1 4 6 7 9),(0 2 3 4 5 7),(0 2 3 4 5 8),(0 2 3 4 6 8),(0 2 3 4 6 9),(0 2 3 5 6 8),(0 2 3 5 7 9),(0 2 4 5 7 9),(0 2 4 6 8 10),(0 1 2 3 4 5 6),(0 1 2 3 4 5 7),(0 1 2 3 4 5 8),(0 1 2 3 4 6 7),(0 1 2 3 4 6 8),(0 1 2 3 4 6 9),(0 1 2 3 4 7 8),(0 1 2 3 4 7 9),(0 1 2 3 5 6 7),(0 1 2 3 5 6 8),(0 1 2 3 5 6 9),(0 1 2 3 5 7 8),(0 1 2 3 5 7 9),(0 1 2 3 5 8 9),(0 1 2 3 6 7 8),(0 1 2 3 6 7 9),(0 1 2 4 5 6 8),(0 1 2 4 5 6 9),(0 1 2 4 5 7 8),(0 1 2 4 5 7 9),(0 1 2 4 5 8 9),(0 1 2 4 6 7 8),(0 1 2 4 6 7 9),(0 1 2 4 6 8 9),(0 1 2 4 6 8 10),(0 1 2 4 7 8 9),(0 1 2 5 6 8 9),(0 1 3 4 5 6 8),(0 1 3 4 5 7 8),(0 1 3 4 5 7 9),(0 1 3 4 6 7 9),(0 1 3 4 6 8 9),(0 1 3 4 6 8 10),(0 1 3 5 6 7 9),(0 1 3 5 6 8 10),(0 2 3 4 5 6 8),(0 2 3 4 5 7 9),(0 2 3 4 6 7 9),(0 1 2 3 4 5 6 7),(0 1 2 3 4 5 6 8),(0 1 2 3 4 5 6 9),(0 1 2 3 4 5 7 8),(0 1 2 3 4 5 7 9),(0 1 2 3 4 5 8 9),(0 1 2 3 4 6 7 8),(0 1 2 3 4 6 7 9),(0 1 2 3 4 6 8 9),(0 1 2 3 4 6 8 10),(0 1 2 3 4 7 8 9),(0 1 2 3 5 6 7 8),(0 1 2 3 5 6 7 9),(0 1 2 3 5 6 8 9),(0 1 2 3 5 6 8 10),(0 1 2 3 5 7 8 9),(0 1 2 3 5 7 8 10),(0 1 2 3 6 7 8 9),(0 1 2 4 5 6 7 9),(0 1 2 4 5 6 8 9),(0 1 2 4 5 6 8 10),(0 1 2 4 5 7 8 9),(0 1 2 4 5 7 8 10),(0 1 2 4 5 7 9 10),(0 1 3 4 5 6 7 9),(0 1 3 4 5 6 8 9),(0 1 3 4 6 7 9 10),(0 2 3 4 5 6 7 9),(0 1 2 3 4 5 6 7 9),(0 1 2 3 4 5 6 8 9),(0 1 2 3 4 5 6 8 10),(0 1 2 3 4 5 7 8 9),(0 1 2 3 4 5 7 8 10),(0 1 2 3 4 6 7 8 9),(0 1 2 3 4 6 7 8 10),(0 1 2 3 5 6 7 8 10),(0 1 2 3 5 6 7 9 10),(0 1 2 3 4 5 6 7 8 9),(0 1 2 3 4 5 6 7 9 10),(0 1 2 3 4 5 6 8 9 10),(0 1 2 3 4 5 6 7 8 9 10),(0 1 2 3 4 5 6 7 8 9 10 11)
14/iii,12.95,8.55,1.64,3.28,2.50,11.14,4.92,0.43,0.35,4.49,2.85,6.99,0.35,1.04,1.64,1.73,0.35,1.64,0.00,0.69,0.35,0.69,0.52,2.42,0.52,1.04,1.04,1.04,0.00,0.69,1.04,1.04,3.11,2.59,0.35,0.69,0.00,0.35,1.73,1.04,0.00,0.35,0.00,0.86,0.00,0.35,0.17,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.52,1.21,0.78,1.21,0.00,0.00,0.52,0.00,0.00,0.69,0.69,0.52,0.00,0.52,0.00,0.00,0.26,0.52,0.00,0.00,0.00,0.00,0.00,0.52,0.52,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14/vi,15.51,8.63,1.04,2.35,4.36,10.71,4.64,0.89,0.89,1.74,4.29,6.68,0.22,1.12,0.67,0.22,0.00,0.30,0.00,0.22,0.00,1.59,0.00,0.00,0.45,0.89,0.45,1.34,0.22,0.78,1.12,0.67,0.11,0.56,0.22,0.34,0.00,1.83,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.89,0.11,4.51,0.00,0.11,0.00,0.11,0.00,1.12,0.67,0.00,1.57,0.00,1.34,2.73,0.00,0.00,0.00,1.23,0.22,0.00,0.22,0.00,0.22,0.00,1.34,0.00,0.00,0.00,0.67,0.00,0.22,0.67,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14/v,17.86,3.67,0.56,2.97,2.61,3.91,0.74,3.90,3.53,4.64,4.27,5.68,1.30,1.30,1.49,0.00,0.37,0.74,0.00,2.79,3.30,0.56,2.79,0.19,0.93,2.41,0.00,0.93,2.23,3.16,1.53,0.00,1.86,2.75,0.93,1.30,0.74,0.93,2.93,1.67,2.14,0.56,0.00,0.84,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.56,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14/ii,16.51,7.10,1.27,0.30,0.27,2.12,1.83,1.47,2.26,2.95,1.19,3.97,0.23,0.09,0.91,0.45,0.15,0.00,0.00,1.82,5.37,1.88,5.16,2.27,2.38,1.06,1.28,1.82,0.68,1.49,1.59,0.57,1.59,2.27,0.00,1.59,1.35,1.36,0.91,0.00,0.23,0.45,0.00,0.91,0.23,1.36,0.00,0.00,0.00,0.23,0.10,0.49,0.00,0.00,0.29,0.23,0.99,0.39,0.27,0.45,0.00,0.00,0.00,0.00,0.92,0.87,0.45,0.00,0.34,0.00,1.93,0.68,0.00,0.68,0.32,0.13,0.00,1.36,0.23,0.68,0.94,0.23,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.45,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14/i,19.71,5.57,1.64,1.83,4.43,8.85,2.99,1.16,1.40,2.26,5.21,8.32,0.33,0.77,1.28,1.96,0.00,0.62,0.00,0.31,2.77,0.92,2.04,0.41,0.18,2.38,2.46,1.15,0.46,1.44,1.24,0.00,0.74,0.98,0.00,0.00,0.71,0.68,1.04,0.31,0.31,0.64,0.00,0.09,0.00,0.31,0.00,0.09,0.00,0.00,0.00,0.92,0.00,0.31,0.31,0.00,0.00,0.00,0.00,0.41,0.00,1.84,0.00,0.00,0.00,0.00,0.18,1.84,0.92,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15/i,15.00,2.92,0.00,1.12,1.46,4.17,0.76,0.42,0.00,0.63,1.04,0.83,0.63,0.00,0.00,0.83,0.00,0.21,0.00,1.67,1.46,1.04,1.46,0.83,0.21,0.00,1.25,0.00,0.42,0.00,2.08,1.67,0.50,0.83,0.63,0.00,0.00,0.83,0.63,0.63,1.46,0.00,0.00,0.42,0.00,0.63,0.63,0.00,0.00,0.63,1.46,1.04,0.50,0.21,1.04,0.63,1.46,0.00,1.04,1.67,0.00,0.00,1.04,0.59,0.42,0.00,0.63,1.88,0.42,1.67,0.33,1.04,0.83,0.63,0.00,0.63,0.00,0.83,0.00,0.63,0.63,0.42,0.00,1.04,0.42,0.63,0.00,0.00,0.63,0.83,0.42,0.00,0.00,0.37,0.00,1.67,0.21,0.00,0.63,0.42,0.00,0.00,0.00,1.04,0.00,1.13,0.00,1.88,0.63,0.00,0.00,0.54,0.42,0.00,0.25,0.00,0.83,0.00,0.00,0.00,0.00,2.50,0.21,0.00,0.00,0.79,0.00,0.00,0.00,1.46,0.00,0.00,1.04,0.63,0.00,0.42,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.00,1.33,0.13,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.21,1.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15/iii,23.74,5.31,0.93,1.58,3.26,6.89,2.23,0.74,0.00,1.68,1.68,2.98,0.00,0.19,0.74,0.56,0.00,1.30,0.00,0.37,0.37,0.93,1.49,2.05,1.49,1.49,0.00,1.49,1.12,3.54,9.68,0.37,3.35,1.12,0.74,2.23,0.93,1.86,1.12,0.00,1.49,0.56,0.00,1.30,0.00,0.56,0.00,0.00,0.00,0.56,0.37,0.74,0.00,0.00,0.00,0.00,1.12,0.00,1.12,0.00,0.00,1.12,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15/ii,6.01,0.58,0.97,2.13,0.39,5.23,0.39,1.74,1.94,4.15,3.64,4.46,1.55,0.78,0.39,3.88,0.00,0.55,1.94,0.24,0.85,1.24,0.00,1.12,0.24,0.00,1.16,2.33,0.39,0.78,4.07,2.13,0.31,3.88,0.78,2.13,0.19,3.68,1.16,0.00,1.16,0.39,0.00,0.00,0.00,0.46,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.39,0.00,2.33,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.47,0.00,0.78,0.00,0.00,0.00,0.39,0.47,0.00,0.39,0.39,1.74,0.00,0.00,1.16,0.58,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,1.16,0.00,0.00,0.00,0.78,1.36,0.00,1.74,0.00,0.00,0.00,0.58,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.00,0.00,0.58,0.19,1.16,0.19,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,1.94,0.00,0.39,0.00,0.58,0.39,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15/iv,25.38,10.66,1.52,3.30,2.54,13.20,4.82,0.00,3.81,9.90,5.33,7.87,1.78,2.28,0.76,4.82,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16/ii,47.72,6.32,6.67,6.67,10.53,16.84,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16/iii,31.37,7.56,4.48,5.88,5.60,12.89,8.40,0.56,2.52,5.88,1.96,1.96,1.68,2.52,2.52,0.84,1.68,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16/iv,38.73,12.02,15.92,10.88,5.13,13.35,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
